Station,DateTime,Entero SSM,Entero GM,Entero SSM_CFU,Entero GM2
Radio Island Public Beach Access,2010-01-25 16:40:00,27.1,48.6,,
Radio Island Public Beach Access,2010-02-18 16:09:00,9.0,17.2,,
Radio Island Public Beach Access,2010-03-25 14:36:00,9.700000000000001,15.1,,
Radio Island Public Beach Access,2010-04-05 14:53:00,63.7,19.3,,
Radio Island Public Beach Access,2010-04-12 14:40:00,15.3,18.7,,
Radio Island Public Beach Access,2010-04-19 15:09:00,9.700000000000001,15.3,,
Radio Island Public Beach Access,2010-04-26 15:13:00,12.2,16.2,,
Radio Island Public Beach Access,2010-05-03 14:59:00,12.2,17.0,,
Radio Island Public Beach Access,2010-05-10 15:12:00,9.0,11.5,,
Radio Island Public Beach Access,2010-05-17 15:24:00,9.3,10.4,,
Radio Island Public Beach Access,2010-05-24 14:56:00,9.3,10.3,,
Radio Island Public Beach Access,2010-06-01 15:09:00,14.1,10.6,,
Radio Island Public Beach Access,2010-06-07 15:02:00,9.3,10.0,,
Radio Island Public Beach Access,2010-06-14 14:28:00,9.0,10.0,,
Radio Island Public Beach Access,2010-06-21 14:32:00,9.3,10.0,,
Radio Island Public Beach Access,2010-06-28 14:53:00,9.3,10.0,,
Radio Island Public Beach Access,2010-07-06 15:18:00,10.0,9.4,,
Radio Island Public Beach Access,2010-07-12 14:33:00,9.3,9.4,,
Radio Island Public Beach Access,2010-07-19 14:21:00,10.0,9.6,,
Radio Island Public Beach Access,2010-07-26 14:20:00,9.3,9.6,,
Radio Island Public Beach Access,2010-08-02 15:02:00,9.0,9.5,,
Radio Island Public Beach Access,2010-08-09 14:51:00,20.5,11.0,,
Radio Island Public Beach Access,2010-08-16 14:46:00,9.3,11.0,,
Radio Island Public Beach Access,2010-08-23 14:42:00,20.0,12.6,,
Radio Island Public Beach Access,2010-08-30 14:33:00,9.3,12.6,,
Radio Island Public Beach Access,2010-09-07 14:33:00,9.3,12.7,,
Radio Island Public Beach Access,2010-09-13 14:50:00,18.400000000000002,12.4,,
Radio Island Public Beach Access,2010-09-20 14:46:00,98.5,19.900000000000002,,
Radio Island Public Beach Access,2010-09-27 15:03:00,2006.0,50.1,,
Radio Island Public Beach Access,2010-09-28 15:25:00,70.5,75.10000000000001,,
Radio Island Public Beach Access,2010-10-04 16:16:00,48.4,104.4,,
Radio Island Public Beach Access,2010-10-12 13:45:00,9.0,90.5,,
Radio Island Public Beach Access,2010-10-21 15:29:00,9.0,56.1,,
Radio Island Public Beach Access,2010-10-25 14:50:00,9.700000000000001,19.3,,
Radio Island Public Beach Access,2010-11-03 15:17:00,36.1,16.9,,
Radio Island Public Beach Access,2010-12-20 17:08:00,9.700000000000001,12.2,,
Radio Island Public Beach Access,2011-01-24 15:32:00,9.3,12.3,,
Radio Island Public Beach Access,2011-02-07 16:02:00,9.0,12.3,,
Radio Island Public Beach Access,2011-03-31 14:24:00,23.5,14.7,,
Radio Island Public Beach Access,2011-04-04 14:55:00,9.0,11.1,,
Radio Island Public Beach Access,2011-04-12 16:20:00,11.7,11.6,,
Radio Island Public Beach Access,2011-04-18 14:31:00,9.700000000000001,11.7,,
Radio Island Public Beach Access,2011-04-25 14:28:00,12.6,12.5,,
Radio Island Public Beach Access,2011-05-02 14:59:00,9.3,10.4,,
Radio Island Public Beach Access,2011-05-09 15:10:00,9.0,10.4,,
Radio Island Public Beach Access,2011-05-16 15:43:00,29.2,12.4,,
Radio Island Public Beach Access,2011-05-23 16:07:00,9.3,12.3,,
Radio Island Public Beach Access,2011-05-31 15:42:00,11.7,12.2,,
Radio Island Public Beach Access,2011-06-06 15:29:00,9.0,12.1,,
Radio Island Public Beach Access,2011-06-13 14:33:00,9.0,12.1,,
Radio Island Public Beach Access,2011-06-20 15:50:00,18.400000000000002,11.0,,
Radio Island Public Beach Access,2011-06-27 16:05:00,12.2,11.6,,
Radio Island Public Beach Access,2011-07-05 18:28:00,14.6,12.2,,
Radio Island Public Beach Access,2011-07-11 15:35:00,9.700000000000001,12.3,,
Radio Island Public Beach Access,2011-07-18 15:49:00,9.0,12.3,,
Radio Island Public Beach Access,2011-07-25 15:25:00,9.0,10.7,,
Radio Island Public Beach Access,2011-08-01 14:43:00,9.3,10.1,,
Radio Island Public Beach Access,2011-08-08 14:53:00,9.3,9.3,,
Radio Island Public Beach Access,2011-08-15 15:31:00,9.3,9.200000000000001,,
Radio Island Public Beach Access,2011-08-22 14:50:00,17.7,10.5,,
Radio Island Public Beach Access,2011-08-30 15:37:00,12.2,11.2,,
Radio Island Public Beach Access,2011-09-06 14:37:00,10.0,11.3,,
Radio Island Public Beach Access,2011-09-12 15:01:00,12.2,12.0,,
Radio Island Public Beach Access,2011-09-19 15:09:00,125.1,20.1,,
Radio Island Public Beach Access,2011-09-20 16:40:00,9.3,17.7,,
Radio Island Public Beach Access,2011-09-26 15:18:00,461.1,36.6,,
Radio Island Public Beach Access,2011-09-27 15:58:00,2006.0,105.6,,
Radio Island Public Beach Access,2011-10-03 14:56:00,9.3,100.0,,
Radio Island Public Beach Access,2011-10-10 16:58:00,9.0,59.1,,
Radio Island Public Beach Access,2011-10-18 15:12:00,9.0,58.7,,
Radio Island Public Beach Access,2011-10-24 16:26:00,17.7,30.6,,
Radio Island Public Beach Access,2011-11-21 17:11:00,9.0,10.4,,
Radio Island Public Beach Access,2011-12-14 16:32:00,9.0,10.3,,
Radio Island Public Beach Access,2012-01-18 16:19:00,9.3,10.4,,
Radio Island Public Beach Access,2012-02-07 16:51:00,9.0,10.4,,
Radio Island Public Beach Access,2012-03-12 15:43:00,9.0,9.1,,
Radio Island Public Beach Access,2012-04-02 16:32:00,12.6,9.700000000000001,,
Radio Island Public Beach Access,2012-04-09 16:18:00,9.3,9.8,,
Radio Island Public Beach Access,2012-04-17 16:05:00,9.3,9.8,,
