Station,Date,Range,HH,HHDate,LL,LLDate,Tide Stage,Tide Stage Fitted
8656483,2010-01-25T05:00:00,3.307,4.104,2010-01-24 06:30:00.0,0.797,2010-01-25 00:36:00.0,2200,2200
8656483,2010-02-18T05:00:00,3.2479999999999998,3.002,2010-02-17 14:12:00.0,-0.246,2010-02-17 08:36:00.0,4100,4100
8656483,2010-03-25T04:00:00,2.936,3.11,2010-03-24 05:54:00.0,0.174,2010-03-25 01:30:00.0,2100,2100
8656483,2010-04-05T04:00:00,3.514,3.888,2010-04-04 04:24:00.0,0.374,2010-04-04 22:42:00.0,2300,2300
8656483,2010-04-12T04:00:00,3.242,2.93,2010-04-11 22:48:00.0,-0.312,2010-04-11 16:24:00.0,4300,4300
8656483,2010-04-19T04:00:00,3.225,3.235,2010-04-18 04:00:00.0,0.01,2010-04-18 09:12:00.0,4000,4000
8656483,2010-04-26T04:00:00,4.127,4.058,2010-04-25 22:00:00.0,-0.069,2010-04-25 16:18:00.0,2000,4300
8656483,2010-05-03T04:00:00,3.4579999999999997,3.287,2010-05-02 04:00:00.0,-0.171,2010-05-02 20:54:00.0,2300,4000
8656483,2010-05-10T04:00:00,2.972,2.959,2010-05-09 21:18:00.0,-0.013,2010-05-09 15:24:00.0,2000,2000
8656483,2010-05-17T04:00:00,4.111,3.681,2010-05-17 02:48:00.0,-0.43,2010-05-16 20:00:00.0,4000,4000
8656483,2010-05-24T04:00:00,4.0120000000000005,3.822,2010-05-23 21:24:00.0,-0.19,2010-05-23 14:24:00.0,2000,2000
8656483,2010-06-01T04:00:00,3.254,3.32,2010-05-31 04:00:00.0,0.066,2010-05-31 08:42:00.0,4000,4000
8656483,2010-06-07T04:00:00,2.868,3.291,2010-06-06 19:48:00.0,0.423,2010-06-06 13:30:00.0,2100,2100
8656483,2010-06-14T04:00:00,4.423,4.18,2010-06-14 01:54:00.0,-0.243,2010-06-13 18:42:00.0,4100,4100
8656483,2010-06-21T04:00:00,3.9080000000000004,3.619,2010-06-20 19:54:00.0,-0.289,2010-06-20 13:30:00.0,2100,2100
8656483,2010-06-28T04:00:00,3.687,3.802,2010-06-28 01:36:00.0,0.115,2010-06-27 19:12:00.0,4100,4100
8656483,2010-07-06T04:00:00,2.883,3.205,2010-07-05 18:54:00.0,0.322,2010-07-05 12:30:00.0,2100,2100
8656483,2010-07-12T04:00:00,4.54,4.281,2010-07-12 00:48:00.0,-0.259,2010-07-11 17:18:00.0,4200,4200
8656483,2010-07-19T04:00:00,4.006,3.537,2010-07-18 18:36:00.0,-0.469,2010-07-18 12:18:00.0,2200,2200
8656483,2010-07-26T04:00:00,3.776,3.622,2010-07-26 01:00:00.0,-0.154,2010-07-25 18:00:00.0,4100,4200
8656483,2010-08-02T04:00:00,3.0060000000000002,3.419,2010-08-01 16:30:00.0,0.413,2010-08-01 10:24:00.0,2300,2300
8656483,2010-08-09T04:00:00,4.3340000000000005,4.642,2010-08-08 23:36:00.0,0.308,2010-08-08 16:30:00.0,4200,4200
